name;quadra;lote;area_m2
JDG0201;02;01;2452
JDG0202;02;02;15980
JDG0203;02;03;9641
JDG0204;02;04;1136
JDG0205;02;05;1068
JDG0206;02;06;1094
JDG0207;02;07;1069
JDG0208;02;08;1046
JDG0209;02;09;1023
JDG0210;02;10;1021
JDG0301;03;01;1347
JDG0302;03;02;1398
JDG0303;03;03;1121
JDG0304;03;04;1159
JDG0305;03;05;1005
JDG0306;03;06;1005
JDG0307;03;07;1010
JDG0308;03;08;1010
JDG0309;03;09;1120
JDG0310;03;10;1019
JDG0311;03;11;1019
JDG0401;04;01;1203
JDG0402;04;02;1020
JDG0403;04;03;1020
JDG0404;04;04;1041
JDG0405;04;05;1318
JDG0501;05;01;1199
JDG0502;05;02;1212
JDG0503;05;03;1040
JDG0601;06;01;1034
JDG0602;06;02;1039
JDG0603;06;03;1375
JDG0604;06;04;1362
JDG0605;06;05;1157
JDG0606;06;06;1245
JDG0607;06;07;1245
JDG0608;06;08;1166
JDG0609;06;09;1166
JDG0610;06;10;1361
JDG0611;06;11;1103
JDG0612;06;12;1028
JDG0701;07;01;1015
JDG0702;07;02;1033
JDG0703;07;03;1208
JDG0704;07;04;1221
JDG0801;08;01;1186
JDG0802;08;02;1018
JDG0803;08;03;1018
JDG0804;08;04;1000
JDG0805;08;05;1000
JDG0901;09;01;1069
JDG0902;09;02;1019
JDG0903;09;03;1012
JDG0904;09;04;1012
JDG0905;09;05;1214
JDG0906;09;06;1357
JDG0907;09;07;1118
JDG0908;09;08;1118
JDG0909;09;09;1022
JDG0910;09;10;1143
JDG0911;09;11;1141
JDG0912;09;12;1011
JDG0913;09;13;1011
JDG0914;09;14;1005
JDG0915;09;15;1005
JDG0916;09;16;1369
JDG0917;09;17;1001
JDG1001;10;01;1118
JDG1002;10;02;1300
JDG1003;10;03;1015
JDG1004;10;04;1020
JDG1005;10;05;1020
JDG1006;10;06;1020
JDG1007;10;07;1020
JDG1008;10;08;1020
JDG1009;10;09;1020
JDG1010;10;10;1020
JDG1011;10;11;1020
JDG1012;10;12;1020
JDG1013;10;13;1014
JDG1014;10;14;1014
JDG1015;10;15;1020
JDG1016;10;16;1020
JDG1017;10;17;1020
JDG1018;10;18;1001
JDG1018;10;18;1020
JDG1019;10;19;1020
JDG1020;10;20;1001
JDG1020;10;20;1020
JDG1021;10;21;1020
JDG1022;10;22;1020
JDG1023;10;23;1020
JDG1024;10;24;1020
JDG1101;11;01;1325
JDG1101;11;01;1110
JDG1102;11;02;1515
JDG1102;11;02;1018
JDG1103;11;03;1147
JDG1104;11;04;911
JDG1105;11;05;911
JDG1106;11;06;1700
JDG1107;11;07;1698
JDG1108;11;08;1633
JDG1109;11;09;1487
JDG1110;11;10;1166
JDG1111;11;11;1000
JDG1201;12;01;
JDG1202;12;02;
JDG1203;12;03;
JDG1204;12;04;
JDG1205;12;05;
JDG1206;12;06;
JDG1207;12;07;
JDG1208;12;08;
JDG1209;12;09;
JDG1210;12;10;
JDG1211;12;11;
JDG1212;12;12;
JDG1301;13;01;
JDG1302;13;02;
JDG1303;13;03;
JDG1304;13;04;
JDG1305;13;05;
JDG1306;13;06;
JDG1307;13;07;
JDG1308;13;08;
JDG1309;13;09;
JDG1310;13;10;
JDG1311;13;11;
JDG1401;14;01;
JDG1402;14;02;
JDG1403;14;03;
JDG1404;14;04;
JDG1405;14;05;
JDG1406;14;06;
JDG1407;14;07;
JDG1408;14;08;
JDG1501;15;01;
JDG1502;15;02;
JDG1503;15;03;
JDG1504;15;04;
JDG1505;15;05;
JDG1506;15;06;
JDG1507;15;07;
JDG1508;15;08;
JDG1509;15;09;
JDG1601;16;01;
JDG1602;16;02;
JDG1603;16;03;
JDG1604;16;04;
JDG1605;16;05;
JDG1606;16;06;
JDG1607;16;07;
JDG1701;17;01;
JDG1702;17;02;
JDG1703;17;03;
JDG1704;17;04;
JDG1705;17;05;
JDG1706;17;06;
JDG1707;17;07;
JDG1801;18;01;
JDG1803;18;03;
JDG1804;18;04;
JDG1805;18;05;
JDG1806;18;06;
JDG1807;18;07;
JDG1808;18;08;
JDG1809;18;09;
JDG1810;18;10;
JDG1811;18;11;
JDG1901;19;01;
JDG1902;19;02;
JDG1903;19;03;
JDG1904;19;04;
JDG1905;19;05;
JDG1906;19;06;
JDG1907;19;07;
JDG1908;19;08;
JDG1909;19;09;
JDG1910;19;10;
JDG1911;19;11;
JDG1912;19;12;
JDG2001;20;01;
JDG2002;20;02;
JDG2003;20;03;
JDG2004;20;04;
JDG2005;20;05;
JDG2006;20;06;
JDG2007;20;07;
JDG2008;20;08;
JDG2009;20;09;
JDG2010;20;10;
JDG2011;20;11;
JDG2101;21;01;
JDG2102;21;02;
JDG2103;21;03;
JDG2104;21;04;
JDG2105;21;05;
JDG2106;21;06;
JDG2107;21;07;
JDG2108;21;08;
JDG2109;21;09;
JDG2110;21;10;
JDG2201;22;01;
JDG2202;22;02;
JDG2203;22;03;
JDG2204;22;04;
JDG2205;22;05;
JDG2206;22;06;
JDG2207;22;07;
JDG2208;22;08;
JDG2209;22;09;
JDG2210;22;10;
JDG2211;22;11;
JDG2212;22;12;
JDG2213;22;13;
JDG2214;22;14;
JDG2301;23;01;
JDG2302;23;02;
JDG2303;23;03;
JDG2304;23;04;
JDG2305;23;05;
JDG2306;23;06;
JDG2307;23;07;
JDG2308;23;08;
JDG2309;23;09;
JDG2310;23;10;
JDG2311;23;11;
JDG2312;23;12;
JDG2313;23;13;
JDG2314;23;14;
JDG2401;24;01;
JDG2402;24;02;
JDG2403;24;03;
JDG2404;24;04;
JDG2405;24;05;
JDG2406;24;06;
JDG2407;24;07;
JDG2408;24;08;
JDG2501;25;01;
JDG2502;25;02;
JDG2503;25;03;
JDG2504;25;04;
JDG2505;25;05;
JDG2506;25;06;
JDG2507;25;07;
JDG2508;25;08;
JDG2509;25;09;
JDG2510;25;10;
JDG2511;25;11;
JDG2512;25;12;
JDG2601;26;01;
JDG2602;26;02;
JDG2603;26;03;
JDG2604;26;04;
JDG2605;26;05;
JDG2606;26;06;
JDG2701;27;01;
JDG2702;27;02;
JDG2703;27;03;
JDG2704;27;04;
JDG2705;27;05;
JDG2706;27;06;
JDG2707;27;07;
JDG2801;28;01;
JDG2802;28;02;
JDG2803;28;03;
JDG2804;28;04;
JDG2805;28;05;
JDG2806;28;06;
JDG2807;28;07;
JDG2808;28;08;
JDG2809;28;09;
JDG2901;29;01;
JDG2902;29;02;
JDG2903;29;03;
JDG2904;29;04;
JDG2905;29;05;
JDG2906;29;06;
JDG3001;30;01;1076
JDG3002;30;02;1051
JDG3003;30;03;1138
JDG3004;30;04;1172
JDG3005;30;05;1172
JDG3006;30;06;1008
JDG3007;30;07;1008
JDG3008;30;08;1012
JDG3009;30;09;1055
JDG3010;30;10;1671
JDG3101;31;01;1171
JDG3102;31;02;1008
JDG3103;31;03;1008
JDG3104;31;04;1008
JDG3105;31;05;1189
JDG3106;31;06;2015
JDG3107;31;07;1144
JDG3108;31;08;1144
JDG3109;31;09;1095
JDG3110;31;10;1110
JDG3111;31;11;1097
JDG3112;31;12;1030
JDG3201;32;01;1083
JDG3202;32;02;1005
JDG3203;32;03;1050
JDG3204;32;04;1209
JDG3205;32;05;1187
JDG3206;32;06;1023
JDG3207;32;07;1001
JDG3208;32;08;1001
JDG3209;32;09;1004
JDG3210;32;10;1003
JDG3301;33;01;1613
JDG3302;33;02;1297
JDG3303;33;03;1024
JDG3304;33;04;1001
JDG3305;33;05;1001
JDG3306;33;06;1001
JDG3307;33;07;1002
JDG3308;33;08;1137
JDG3401;34;01;1494
JDG3402;34;02;1408
JDG3403;34;03;1343
JDG3404;34;04;1019
JDG3405;34;05;1000
JDG3406;34;06;1000
JDG3407;34;07;1000
JDG3408;34;08;1694
JDG3501;35;01;1503
JDG3502;35;02;1503
JDG3503;35;03;1013
JDG3601;36;01;1016
JDG3602;36;02;1009
JDG3603;36;03;1013
JDG3604;36;04;1070
JDG3605;36;05;1013
JDG3606;36;06;1013
JDG3607;36;07;1379
JDG3701;37;01;1010
JDG3702;37;02;1005
JDG3703;37;03;1012
JDG3704;37;04;1244
JDG3705;37;05;1063
JDG3706;37;06;1175
JDG3707;37;07;1175
JDG3801;38;01;1012
JDG3802;38;02;1023
JDG3803;38;03;1007
JDG3804;38;04;1003
JDG3805;38;05;1012
JDG3806;38;06;1188
JDG3807;38;07;1351
JDG3808;38;08;1213
JDG3901;39;01;1373
JDG3902;39;02;1012
JDG3903;39;03;1029
JDG3904;39;04;1029
JDG3905;39;05;1013
JDG4003;40;03;1021
JDG4004;40;04;1069
JDG4005;40;05;1161
JDG4006;40;06;1140
JDG4007;40;07;1100
JDG4008;40;08;1069
JDG4009;40;09;1034
JDG4010;40;10;1024
JDG4011;40;11;1001
JDG4101;41;01;1027
JDG4102;41;02;1026
JDG4103;41;03;1061
JDG4104;41;04;1396
JDG4105;41;05;1012
JDG4106;41;06;1012
JDG4107;41;07;1012
JDG4108;41;08;1029
JDG4109;41;09;1029
JDG4110;41;10;1012
JDG4111;41;11;1012
JDG4112;41;12;1820
JDG4119;41;19;1019
JDG4201;42;01;1020
JDG4201;42;01;1099
JDG4202;42;02;1003
JDG4202;42;02;1087
JDG4203;42;03;1225
JDG4204;42;04;1299
JDG4205;42;05;1329
JDG4206;42;06;1502
JDG4207;42;07;1469
JDG4208;42;08;1394
JDG4209;42;09;1394
JDG4210;42;10;1332
JDG4211;42;11;1332
JDG4212;42;12;1481
JDG4213;42;13;1402
JDG4303;43;03;1142
JDG4304;43;04;1011
JDG4305;43;05;1014
JDG4306;43;06;1001
JDG4307;43;07;1001
JDG4308;43;08;1001
JDG4309;43;09;1001
JDG4401;44;01;1007
JDG4402;44;02;1004
JDG4403;44;03;1005
JDG4404;44;04;1024
JDG4405;44;05;1024
JDG4406;44;06;1024
JDG4407;44;07;1025
JDG4501;45;01;826
JDG4502;45;02;1098
JDG4503;45;03;1098
JDG4504;45;04;1098
JDG4505;45;05;1153
JDG4506;45;06;1043
JDG4507;45;07;1051
JDG4508;45;08;1042
JDG4509;45;09;1161
JDG4510;45;10;1007
JDG4511;45;11;1041
JDG4512;45;12;1002
JDG4513;45;13;1024
JDG4514;45;14;1024
JDG4515;45;15;1134
JDG4516;45;16;1173
JDG4517;45;17;1199
JDG4518;45;18;1225
JDG4519;45;19;1377
JDG4520;45;20;1184
JDG4601;46;01;1028
JDG4602;46;02;1117
JDG4603;46;03;1037
JDG4604;46;04;1152
JDG4605;46;05;1080
JDG4606;46;06;1084
JDG4607;46;07;1087
JDG4608;46;08;1024
